age,gender,point,events
8,M,10,"[{'Freestyle': [{'distance': 50, 'time': '00:38,92'}, {'distance': 100, 'time': '01:30,18'}, {'distance': 200, 'time': '03:18,11'}, {'distance': 400, 'time': '07:09,13'}, {'distance': 800, 'time': '15:07,20'}, {'distance': 1500, 'time': '29:07,20'}], 'Breaststroke': [{'distance': 50, 'time': '00:52,30'}, {'distance': 100, 'time': '01:57,19'}, {'distance': 200, 'time': '04:17,60'}], 'Butterfly': [{'distance': 50, 'time': '00:45,79'}, {'distance': 100, 'time': '01:43,04'}, {'distance': 200, 'time': '04:06,40'}], 'Backstroke': [{'distance': 50, 'time': '00:45,93'}, {'distance': 100, 'time': '01:41,53'}, {'distance': 200, 'time': '03:44,00'}], 'Medley': [{'distance': 200, 'time': '03:54,08'}, {'distance': 400, 'time': '08:35,20'}]}]"
8,M,9,"[{'Freestyle': [{'distance': 50, 'time': '00:39,44'}, {'distance': 100, 'time': '01:31,39'}, {'distance': 200, 'time': '03:20,76'}, {'distance': 400, 'time': '07:14,88'}, {'distance': 800, 'time': '15:19,35'}, {'distance': 1500, 'time': '29:30,60'}], 'Breaststroke': [{'distance': 50, 'time': '00:53,00'}, {'distance': 100, 'time': '01:58,76'}, {'distance': 200, 'time': '04:21,05'}], 'Butterfly': [{'distance': 50, 'time': '00:46,40'}, {'distance': 100, 'time': '01:44,42'}, {'distance': 200, 'time': '04:09,70'}], 'Backstroke': [{'distance': 50, 'time': '00:46,55'}, {'distance': 100, 'time': '01:42,89'}, {'distance': 200, 'time': '03:47,00'}], 'Medley': [{'distance': 200, 'time': '03:57,22'}, {'distance': 400, 'time': '08:42,10'}]}]"
8,M,8,"[{'Freestyle': [{'distance': 50, 'time': '00:39,96'}, {'distance': 100, 'time': '01:32,60'}, {'distance': 200, 'time': '03:23,41'}, {'distance': 400, 'time': '07:20,62'}, {'distance': 800, 'time': '15:31,50'}, {'distance': 1500, 'time': '29:54,00'}], 'Breaststroke': [{'distance': 50, 'time': '00:53,71'}, {'distance': 100, 'time': '02:00,32'}, {'distance': 200, 'time': '04:24,50'}], 'Butterfly': [{'distance': 50, 'time': '00:47,01'}, {'distance': 100, 'time': '01:45,80'}, {'distance': 200, 'time': '04:13,00'}], 'Backstroke': [{'distance': 50, 'time': '00:47,16'}, {'distance': 100, 'time': '01:44,25'}, {'distance': 200, 'time': '03:50,00'}], 'Medley': [{'distance': 200, 'time': '04:00,35'}, {'distance': 400, 'time': '08:49,00'}]}]"
8,M,7,"[{'Freestyle': [{'distance': 50, 'time': '00:40,48'}, {'distance': 100, 'time': '01:33,81'}, {'distance': 200, 'time': '03:26,07'}, {'distance': 400, 'time': '07:26,37'}, {'distance': 800, 'time': '15:43,65'}, {'distance': 1500, 'time': '30:17,40'}], 'Breaststroke': [{'distance': 50, 'time': '00:54,41'}, {'distance': 100, 'time': '02:01,89'}, {'distance': 200, 'time': '04:27,95'}], 'Butterfly': [{'distance': 50, 'time': '00:47,63'}, {'distance': 100, 'time': '01:47,18'}, {'distance': 200, 'time': '04:16,30'}], 'Backstroke': [{'distance': 50, 'time': '00:47,78'}, {'distance': 100, 'time': '01:45,61'}, {'distance': 200, 'time': '03:53,00'}], 'Medley': [{'distance': 200, 'time': '04:03,49'}, {'distance': 400, 'time': '08:55,90'}]}]"
8,M,6,"[{'Freestyle': [{'distance': 50, 'time': '00:41,01'}, {'distance': 100, 'time': '01:35,01'}, {'distance': 200, 'time': '03:28,72'}, {'distance': 400, 'time': '07:32,12'}, {'distance': 800, 'time': '15:55,80'}, {'distance': 1500, 'time': '30:40,80'}], 'Breaststroke': [{'distance': 50, 'time': '00:55,11'}, {'distance': 100, 'time': '02:03,46'}, {'distance': 200, 'time': '04:31,40'}], 'Butterfly': [{'distance': 50, 'time': '00:48,24'}, {'distance': 100, 'time': '01:48,56'}, {'distance': 200, 'time': '04:19,60'}], 'Backstroke': [{'distance': 50, 'time': '00:48,39'}, {'distance': 100, 'time': '01:46,97'}, {'distance': 200, 'time': '03:56,00'}], 'Medley': [{'distance': 200, 'time': '04:06,62'}, {'distance': 400, 'time': '09:02,80'}]}]"
8,M,5,"[{'Freestyle': [{'distance': 50, 'time': '00:41,53'}, {'distance': 100, 'time': '01:36,22'}, {'distance': 200, 'time': '03:31,37'}, {'distance': 400, 'time': '07:37,86'}, {'distance': 800, 'time': '16:07,95'}, {'distance': 1500, 'time': '31:04,20'}], 'Breaststroke': [{'distance': 50, 'time': '00:55,81'}, {'distance': 100, 'time': '02:05,03'}, {'distance': 200, 'time': '04:34,85'}], 'Butterfly': [{'distance': 50, 'time': '00:48,85'}, {'distance': 100, 'time': '01:49,94'}, {'distance': 200, 'time': '04:22,90'}], 'Backstroke': [{'distance': 50, 'time': '00:49,01'}, {'distance': 100, 'time': '01:48,33'}, {'distance': 200, 'time': '03:59,00'}], 'Medley': [{'distance': 200, 'time': '04:09,76'}, {'distance': 400, 'time': '09:09,70'}]}]"
8,M,4,"[{'Freestyle': [{'distance': 50, 'time': '00:42,05'}, {'distance': 100, 'time': '01:37,43'}, {'distance': 200, 'time': '03:34,02'}, {'distance': 400, 'time': '07:43,61'}, {'distance': 800, 'time': '16:20,10'}, {'distance': 1500, 'time': '31:27,60'}], 'Breaststroke': [{'distance': 50, 'time': '00:56,51'}, {'distance': 100, 'time': '02:06,60'}, {'distance': 200, 'time': '04:38,30'}], 'Butterfly': [{'distance': 50, 'time': '00:49,46'}, {'distance': 100, 'time': '01:51,32'}, {'distance': 200, 'time': '04:26,20'}], 'Backstroke': [{'distance': 50, 'time': '00:49,62'}, {'distance': 100, 'time': '01:49,69'}, {'distance': 200, 'time': '04:02,00'}], 'Medley': [{'distance': 200, 'time': '04:12,89'}, {'distance': 400, 'time': '09:16,60'}]}]"
8,M,3,"[{'Freestyle': [{'distance': 50, 'time': '00:42,57'}, {'distance': 100, 'time': '01:38,64'}, {'distance': 200, 'time': '03:36,68'}, {'distance': 400, 'time': '07:49,36'}, {'distance': 800, 'time': '16:32,25'}, {'distance': 1500, 'time': '31:51,00'}], 'Breaststroke': [{'distance': 50, 'time': '00:57,21'}, {'distance': 100, 'time': '02:08,17'}, {'distance': 200, 'time': '04:41,75'}], 'Butterfly': [{'distance': 50, 'time': '00:50,08'}, {'distance': 100, 'time': '01:52,70'}, {'distance': 200, 'time': '04:29,50'}], 'Backstroke': [{'distance': 50, 'time': '00:50,24'}, {'distance': 100, 'time': '01:51,05'}, {'distance': 200, 'time': '04:05,00'}], 'Medley': [{'distance': 200, 'time': '04:16,03'}, {'distance': 400, 'time': '09:23,50'}]}]"
8,M,2,"[{'Freestyle': [{'distance': 50, 'time': '00:43,09'}, {'distance': 100, 'time': '01:39,84'}, {'distance': 200, 'time': '03:39,33'}, {'distance': 400, 'time': '07:55,11'}, {'distance': 800, 'time': '16:44,40'}, {'distance': 1500, 'time': '32:14,40'}], 'Breaststroke': [{'distance': 50, 'time': '00:57,91'}, {'distance': 100, 'time': '02:09,74'}, {'distance': 200, 'time': '04:45,20'}], 'Butterfly': [{'distance': 50, 'time': '00:50,69'}, {'distance': 100, 'time': '01:54,08'}, {'distance': 200, 'time': '04:32,80'}], 'Backstroke': [{'distance': 50, 'time': '00:50,85'}, {'distance': 100, 'time': '01:52,41'}, {'distance': 200, 'time': '04:08,00'}], 'Medley': [{'distance': 200, 'time': '04:19,16'}, {'distance': 400, 'time': '09:30,40'}]}]"
8,M,1,"[{'Freestyle': [{'distance': 50, 'time': '00:43,61'}, {'distance': 100, 'time': '01:41,05'}, {'distance': 200, 'time': '03:41,98'}, {'distance': 400, 'time': '08:00,85'}, {'distance': 800, 'time': '16:56,55'}, {'distance': 1500, 'time': '32:37,80'}], 'Breaststroke': [{'distance': 50, 'time': '00:58,61'}, {'distance': 100, 'time': '02:11,31'}, {'distance': 200, 'time': '04:48,65'}], 'Butterfly': [{'distance': 50, 'time': '00:51,30'}, {'distance': 100, 'time': '01:55,46'}, {'distance': 200, 'time': '04:36,10'}], 'Backstroke': [{'distance': 50, 'time': '00:51,47'}, {'distance': 100, 'time': '01:53,77'}, {'distance': 200, 'time': '04:11,00'}], 'Medley': [{'distance': 200, 'time': '04:22,29'}, {'distance': 400, 'time': '09:37,30'}]}]"
