age,gender,point,events
8,M,20,"[{'Freestyle': [{'distance': 50, 'time': '00:33,68'}, {'distance': 100, 'time': '01:17,71'}, {'distance': 200, 'time': '02:51,20'}, {'distance': 400, 'time': '06:18,30'}, {'distance': 800, 'time': '13:05,70'}, {'distance': 1500, 'time': '24:58,65'}], 'Breaststroke': [{'distance': 50, 'time': '00:45,18'}, {'distance': 100, 'time': '01:41,49'}, {'distance': 200, 'time': '03:46,01'}], 'Butterfly': [{'distance': 50, 'time': '00:39,41'}, {'distance': 100, 'time': '01:32,15'}, {'distance': 200, 'time': '04:12,20'}], 'Backstroke': [{'distance': 50, 'time': '00:39,61'}, {'distance': 100, 'time': '01:27,36'}, {'distance': 200, 'time': '03:13,48'}], 'Medley': [{'distance': 200, 'time': '03:22,73'}, {'distance': 400, 'time': '07:21,35'}]}]"
8,M,19,"[{'Freestyle': [{'distance': 50, 'time': '00:34,20'}, {'distance': 100, 'time': '01:18,91'}, {'distance': 200, 'time': '02:53,85'}, {'distance': 400, 'time': '06:24,15'}, {'distance': 800, 'time': '13:17,85'}, {'distance': 1500, 'time': '25:21,82'}], 'Breaststroke': [{'distance': 50, 'time': '00:45,88'}, {'distance': 100, 'time': '01:43,06'}, {'distance': 200, 'time': '03:49,51'}], 'Butterfly': [{'distance': 50, 'time': '00:40,02'}, {'distance': 100, 'time': '01:33,58'}, {'distance': 200, 'time': '04:16,10'}], 'Backstroke': [{'distance': 50, 'time': '00:40,22'}, {'distance': 100, 'time': '01:28,71'}, {'distance': 200, 'time': '03:16,47'}], 'Medley': [{'distance': 200, 'time': '03:25,86'}, {'distance': 400, 'time': '07:28,18'}]}]"
8,M,18,"[{'Freestyle': [{'distance': 50, 'time': '00:34,72'}, {'distance': 100, 'time': '01:20,11'}, {'distance': 200, 'time': '02:56,50'}, {'distance': 400, 'time': '06:30,00'}, {'distance': 800, 'time': '13:30,00'}, {'distance': 1500, 'time': '25:45,00'}], 'Breaststroke': [{'distance': 50, 'time': '00:46,58'}, {'distance': 100, 'time': '01:44,63'}, {'distance': 200, 'time': '03:53,00'}], 'Butterfly': [{'distance': 50, 'time': '00:40,63'}, {'distance': 100, 'time': '01:35,00'}, {'distance': 200, 'time': '04:20,00'}], 'Backstroke': [{'distance': 50, 'time': '00:40,83'}, {'distance': 100, 'time': '01:30,06'}, {'distance': 200, 'time': '03:19,46'}], 'Medley': [{'distance': 200, 'time': '03:29,00'}, {'distance': 400, 'time': '07:35,00'}]}]"
8,M,17,"[{'Freestyle': [{'distance': 50, 'time': '00:35,24'}, {'distance': 100, 'time': '01:21,31'}, {'distance': 200, 'time': '02:59,15'}, {'distance': 400, 'time': '06:35,85'}, {'distance': 800, 'time': '13:42,15'}, {'distance': 1500, 'time': '26:08,17'}], 'Breaststroke': [{'distance': 50, 'time': '00:47,28'}, {'distance': 100, 'time': '01:46,20'}, {'distance': 200, 'time': '03:56,49'}], 'Butterfly': [{'distance': 50, 'time': '00:41,24'}, {'distance': 100, 'time': '01:36,42'}, {'distance': 200, 'time': '04:23,90'}], 'Backstroke': [{'distance': 50, 'time': '00:41,44'}, {'distance': 100, 'time': '01:31,41'}, {'distance': 200, 'time': '03:22,45'}], 'Medley': [{'distance': 200, 'time': '03:32,13'}, {'distance': 400, 'time': '07:41,82'}]}]"
8,M,16,"[{'Freestyle': [{'distance': 50, 'time': '00:35,76'}, {'distance': 100, 'time': '01:22,51'}, {'distance': 200, 'time': '03:01,79'}, {'distance': 400, 'time': '06:41,70'}, {'distance': 800, 'time': '13:54,30'}, {'distance': 1500, 'time': '26:31,35'}], 'Breaststroke': [{'distance': 50, 'time': '00:47,98'}, {'distance': 100, 'time': '01:47,77'}, {'distance': 200, 'time': '03:59,99'}], 'Butterfly': [{'distance': 50, 'time': '00:41,85'}, {'distance': 100, 'time': '01:37,85'}, {'distance': 200, 'time': '04:27,80'}], 'Backstroke': [{'distance': 50, 'time': '00:42,05'}, {'distance': 100, 'time': '01:32,76'}, {'distance': 200, 'time': '03:25,44'}], 'Medley': [{'distance': 200, 'time': '03:35,27'}, {'distance': 400, 'time': '07:48,65'}]}]"
8,M,15,"[{'Freestyle': [{'distance': 50, 'time': '00:36,28'}, {'distance': 100, 'time': '01:23,71'}, {'distance': 200, 'time': '03:04,44'}, {'distance': 400, 'time': '06:47,55'}, {'distance': 800, 'time': '14:06,45'}, {'distance': 1500, 'time': '26:54,52'}], 'Breaststroke': [{'distance': 50, 'time': '00:48,68'}, {'distance': 100, 'time': '01:49,34'}, {'distance': 200, 'time': '04:03,49'}], 'Butterfly': [{'distance': 50, 'time': '00:42,46'}, {'distance': 100, 'time': '01:39,28'}, {'distance': 200, 'time': '04:31,70'}], 'Backstroke': [{'distance': 50, 'time': '00:42,67'}, {'distance': 100, 'time': '01:34,11'}, {'distance': 200, 'time': '03:28,44'}], 'Medley': [{'distance': 200, 'time': '03:38,40'}, {'distance': 400, 'time': '07:55,48'}]}]"
8,M,14,"[{'Freestyle': [{'distance': 50, 'time': '00:36,80'}, {'distance': 100, 'time': '01:24,92'}, {'distance': 200, 'time': '03:07,09'}, {'distance': 400, 'time': '06:53,40'}, {'distance': 800, 'time': '14:18,60'}, {'distance': 1500, 'time': '27:17,70'}], 'Breaststroke': [{'distance': 50, 'time': '00:49,37'}, {'distance': 100, 'time': '01:50,91'}, {'distance': 200, 'time': '04:06,98'}], 'Butterfly': [{'distance': 50, 'time': '00:43,07'}, {'distance': 100, 'time': '01:40,70'}, {'distance': 200, 'time': '04:35,60'}], 'Backstroke': [{'distance': 50, 'time': '00:43,28'}, {'distance': 100, 'time': '01:35,46'}, {'distance': 200, 'time': '03:31,43'}], 'Medley': [{'distance': 200, 'time': '03:41,54'}, {'distance': 400, 'time': '08:02,30'}]}]"
8,M,13,"[{'Freestyle': [{'distance': 50, 'time': '00:37,32'}, {'distance': 100, 'time': '01:26,12'}, {'distance': 200, 'time': '03:09,74'}, {'distance': 400, 'time': '06:59,25'}, {'distance': 800, 'time': '14:30,75'}, {'distance': 1500, 'time': '27:40,87'}], 'Breaststroke': [{'distance': 50, 'time': '00:50,07'}, {'distance': 100, 'time': '01:52,48'}, {'distance': 200, 'time': '04:10,47'}], 'Butterfly': [{'distance': 50, 'time': '00:43,68'}, {'distance': 100, 'time': '01:42,12'}, {'distance': 200, 'time': '04:39,50'}], 'Backstroke': [{'distance': 50, 'time': '00:43,89'}, {'distance': 100, 'time': '01:36,81'}, {'distance': 200, 'time': '03:34,42'}], 'Medley': [{'distance': 200, 'time': '03:44,68'}, {'distance': 400, 'time': '08:09,13'}]}]"
8,M,12,"[{'Freestyle': [{'distance': 50, 'time': '00:37,84'}, {'distance': 100, 'time': '01:27,32'}, {'distance': 200, 'time': '03:12,39'}, {'distance': 400, 'time': '07:05,10'}, {'distance': 800, 'time': '14:42,90'}, {'distance': 1500, 'time': '28:04,05'}], 'Breaststroke': [{'distance': 50, 'time': '00:50,77'}, {'distance': 100, 'time': '01:54,05'}, {'distance': 200, 'time': '04:13,97'}], 'Butterfly': [{'distance': 50, 'time': '00:44,29'}, {'distance': 100, 'time': '01:43,55'}, {'distance': 200, 'time': '04:43,40'}], 'Backstroke': [{'distance': 50, 'time': '00:44,50'}, {'distance': 100, 'time': '01:38,17'}, {'distance': 200, 'time': '03:37,41'}], 'Medley': [{'distance': 200, 'time': '03:47,81'}, {'distance': 400, 'time': '08:15,95'}]}]"
8,M,11,"[{'Freestyle': [{'distance': 50, 'time': '00:38,37'}, {'distance': 100, 'time': '01:28,52'}, {'distance': 200, 'time': '03:15,03'}, {'distance': 400, 'time': '07:10,95'}, {'distance': 800, 'time': '14:55,05'}, {'distance': 1500, 'time': '28:27,22'}], 'Breaststroke': [{'distance': 50, 'time': '00:51,47'}, {'distance': 100, 'time': '01:55,62'}, {'distance': 200, 'time': '04:17,47'}], 'Butterfly': [{'distance': 50, 'time': '00:44,90'}, {'distance': 100, 'time': '01:44,98'}, {'distance': 200, 'time': '04:47,30'}], 'Backstroke': [{'distance': 50, 'time': '00:45,12'}, {'distance': 100, 'time': '01:39,52'}, {'distance': 200, 'time': '03:40,40'}], 'Medley': [{'distance': 200, 'time': '03:50,95'}, {'distance': 400, 'time': '08:22,77'}]}]"
